product_name,cost_price,selling_price,optimised_price,price_change_pct,orig_profit_per_unit,new_profit_per_unit,profit_improvement_pct,estimated_orig_revenue,estimated_new_revenue,fuzzy_adjustment_pct,demand_score,satisfaction_score,margin_score
Notebook,563.17,1319.0,1491.76,13.1,755.83,928.59,22.86,84416.0,95472.64,8.731883698126074,1.3,4.2,5.73
Sunscreen,380.11,669.41,834.51,24.66,289.3,454.4,57.07,249689.93,311272.23,16.442396081948846,1.3,7.0,4.32
Rice (5kg),141.53,179.38,199.11,11.0,37.85,57.58,52.13,1076.28,1194.66,7.33333333333333,8.4,5.0,2.11
Monitor Stand,421.38,884.28,1093.73,23.69,462.9,672.35,45.25,343984.92,425460.97,15.790439806112264,4.2,6.2,5.23
Backpack,75.79,164.09,207.61,26.52,88.3,131.82,49.29,50539.72,63943.88,17.681294641320683,2.1,8.4,5.38
Desk Lamp,731.99,1380.38,1731.55,25.44,648.39,999.56,54.16,356138.04,446739.9,16.960170159130296,5.7,8.4,4.7
Notebook,244.08,531.94,647.03,21.64,287.86,402.95,39.98,76599.36,93172.32,14.424290401728348,7.9,5.8,5.41
Tea Bags,546.89,979.65,1222.95,24.84,432.76,676.06,56.22,447700.05,558888.15,16.557273089171975,2.9,7.2,4.42
Wall Clock,283.78,519.84,650.16,25.07,236.06,366.38,55.21,21313.44,26656.56,16.712836441768374,6.6,7.0,4.54
Denim Jeans,440.05,747.45,929.71,24.38,307.4,489.66,59.29,122581.8,152472.44,16.25648134732292,1.8,7.8,4.11
Denim Jeans,460.03,522.4,612.95,17.33,62.37,152.92,145.18,6791.2,7968.35,11.555567812943787,1.5,5.6,1.19
Pillow,188.64,236.0,288.3,22.16,47.36,99.66,110.43,55932.0,68327.1,14.772727272727273,5.8,7.6,2.01
Academic Textbook,777.19,889.11,1086.13,22.16,111.92,308.94,176.04,91578.33,111871.39,14.772727272727273,5.9,9.8,1.26
USB Hub,631.35,1257.0,1587.04,26.26,625.65,955.69,52.75,189807.0,239643.04,17.50430315637153,6.7,7.0,4.98
Pillow,754.62,1162.19,1425.63,22.67,407.57,671.01,64.64,357954.52,439094.04,15.111911873907784,7.5,9.4,3.51
Bluetooth Speaker,721.12,1306.67,1616.16,23.69,585.55,895.04,52.85,277014.04,342625.92,15.790318403260233,9.8,6.6,4.48
Bookshelf,498.42,1181.55,1471.34,24.53,683.13,972.92,42.42,159509.25,198630.9,16.350782874998036,5.6,6.2,5.78
Smart Watch,741.41,1074.31,1312.57,22.18,332.9,571.16,71.57,438318.48,535528.56,14.785425038639875,3.9,7.8,3.1
Pillow,116.37,194.87,242.26,24.32,78.5,125.89,60.37,30399.72,37792.56,16.21289236072587,8.2,8.0,4.03
Cable Organizer,196.99,425.06,537.75,26.51,228.07,340.76,49.41,24653.48,31189.5,17.674466770614483,3.4,9.2,5.37
Dumbbells,83.92,119.19,138.23,15.97,35.27,54.31,53.98,14779.56,17140.52,10.648593574953841,5.0,5.4,2.96
