product_name,category,cost_price,selling_price,competitor_price,units_sold,customer_rating,stock_level,demand_score
Notebook,Cosmetics,563.17,1319.0,1289.02,64,2.1,995,1.3
Sunscreen,Books,380.11,669.41,796.68,373,3.5,794,1.3
Rice (5kg),Furniture,141.53,179.38,212.9,6,2.5,113,8.4
Monitor Stand,Electronics,421.38,884.28,829.56,389,3.1,938,4.2
Backpack,Sports,75.79,164.09,168.03,308,4.2,402,2.1
Desk Lamp,Sports,731.99,1380.38,1318.69,258,4.2,820,5.7
Notebook,Cosmetics,244.08,531.94,505.18,144,2.9,255,7.9
Tea Bags,Books,546.89,979.65,845.35,457,3.6,185,2.9
Wall Clock,Clothing,283.78,519.84,552.77,41,3.5,48,6.6
Denim Jeans,Clothing,440.05,747.45,766.84,164,3.9,486,1.8
Denim Jeans,Sports,460.03,522.4,453.45,13,2.8,691,1.5
Pillow,Cosmetics,188.64,236.0,223.62,237,3.8,768,5.8
Academic Textbook,Furniture,777.19,889.11,1038.39,103,4.9,547,5.9
USB Hub,Clothing,631.35,1257.0,1173.85,151,3.5,876,6.7
Pillow,Furniture,754.62,1162.19,1046.8,308,4.7,827,7.5
Bluetooth Speaker,Books,721.12,1306.67,1334.51,212,3.3,930,9.8
Bookshelf,Clothing,498.42,1181.55,1411.93,135,3.1,417,5.6
Smart Watch,Clothing,741.41,1074.31,1004.18,408,3.9,534,3.9
Pillow,Food,116.37,194.87,211.48,156,4.0,837,8.2
Cable Organizer,Clothing,196.99,425.06,474.61,58,4.6,515,3.4
Dumbbells,Electronics,83.92,119.19,111.22,124,2.7,912,5.0
Magazine,Cosmetics,294.0,355.08,392.32,165,3.5,834,1.7
Smart Watch,Cosmetics,341.51,514.2,503.26,412,3.7,45,1.2
Desk Lamp,Furniture,253.51,336.08,360.04,120,4.3,694,9.7
Protein Powder,Books,671.55,1612.78,1728.47,79,2.1,29,8.5
Winter Jacket,Clothing,317.56,708.59,735.18,117,5.0,330,7.3
Bookshelf,Electronics,260.7,517.95,456.63,460,3.4,785,4.7
Cable Organizer,Furniture,457.02,1060.31,1211.25,424,2.8,521,2.6
Face Cream,Food,155.69,346.43,333.36,426,4.7,409,2.4
Smart Plug,Furniture,651.65,887.02,811.87,108,4.2,663,3.3
Perfume,Furniture,105.91,248.84,215.07,344,4.9,981,5.9
Mouse Pad,Clothing,790.17,1465.83,1549.11,258,3.0,892,7.4
Lip Balm,Food,629.18,1403.33,1525.63,231,3.7,480,6.9
Cooking Oil,Furniture,199.04,468.65,401.07,116,3.7,152,3.5
Rice (5kg),Electronics,54.14,83.66,86.11,477,4.9,101,9.6
Extension Cord,Electronics,661.6,829.69,771.01,103,2.2,363,7.6
Cable Organizer,Cosmetics,580.14,823.28,885.69,157,2.9,843,6.0
Bluetooth Speaker,Food,596.76,1013.27,923.12,353,2.6,809,6.5
Children's Book,Food,628.45,1411.01,1540.58,406,2.8,736,4.8
Water Bottle,Cosmetics,105.53,243.25,239.69,388,3.5,968,3.2
Desk Lamp,Furniture,318.85,353.84,416.77,370,3.1,863,4.2
Sunglasses,Food,136.9,248.48,223.17,342,3.2,60,7.8
Notebook,Electronics,697.33,1174.57,1138.6,198,4.5,674,1.1
Coffee Beans,Electronics,517.47,730.12,649.6,314,4.8,707,2.0
Phone Case,Clothing,298.17,378.02,443.66,167,2.2,584,1.4
Face Cream,Food,97.67,153.6,177.73,212,2.6,199,1.4
Dress,Furniture,283.24,685.46,644.52,449,4.0,134,8.7
Sunglasses,Cosmetics,293.89,456.26,493.21,173,3.1,159,7.3
Shampoo,Cosmetics,597.2,1090.67,1239.03,488,2.8,323,5.3
Smart Watch,Furniture,528.17,1100.83,1149.62,165,2.9,579,1.9
