product_id,product_name,category,price,cost,quantity,revenue,customer_rating,competitor_price,season
C001,House Drip Coffee,Hot Coffee,2.49,0.80,1567,3901.83,4.2,2.79,All Season
C002,Latte 12oz,Hot Coffee,4.29,1.50,892,3826.68,4.5,4.79,All Season
C003,Cappuccino 12oz,Hot Coffee,4.29,1.50,678,2908.62,4.6,4.79,All Season
C004,Americano 12oz,Hot Coffee,3.49,1.20,456,1591.44,4.3,3.79,All Season
C005,Mocha 12oz,Specialty,4.99,1.80,345,1721.55,4.7,5.49,All Season
C006,Cold Brew 16oz,Cold Coffee,4.49,1.40,567,2545.83,4.4,4.99,Summer
C007,Iced Latte 16oz,Cold Coffee,4.79,1.60,678,3247.62,4.5,5.29,Summer
C008,Espresso Shot,Hot Coffee,2.29,0.70,345,790.05,4.1,2.49,All Season
C009,Chai Tea Latte,Tea,4.49,1.50,234,1050.66,4.6,4.99,Winter
C010,Matcha Latte,Tea,4.99,1.80,156,778.44,4.8,5.49,All Season
C011,Hot Chocolate,Other,3.99,1.20,234,933.66,4.5,4.29,Winter
C012,Croissant,Pastry,3.49,1.10,892,3113.08,4.3,3.79,All Season
C013,Muffin Blueberry,Pastry,3.29,1.00,678,2230.62,4.1,3.59,All Season
C014,Bagel with Cream Cheese,Breakfast,4.29,1.50,456,1956.24,4.2,4.79,All Season
C015,Avocado Toast,Breakfast,7.99,3.00,234,1869.66,4.7,8.99,All Season
C016, Breakfast Sandwich,Breakfast,6.49,2.50,345,2239.05,4.4,6.99,All Season
C017,Oatmeal Cup,Breakfast,3.99,1.30,189,754.11,4.0,4.29,Winter
C018,Protein Bites 3pk,Snack,3.49,1.20,456,1591.44,4.3,3.79,All Season
